"name","notch","supername","package","side"
"Minecraft","Minecraft","","net/minecraft/client","0"
"MinecraftApplet","MinecraftApplet","","net/minecraft/client","0"
"IsomPreviewApplet","IsomPreviewApplet","","net/minecraft/isom","0"
"Achievement","nu","StatBase","net/minecraft/src","0"
"AchievementList","en","","net/minecraft/src","0"
"AchievementMap","b","","net/minecraft/src","0"
"AxisAlignedBB","eo","","net/minecraft/src","0"
"BiomeGenBase","jz","","net/minecraft/src","0"
"BiomeGenDesert","fr","BiomeGenBase","net/minecraft/src","0"
"BiomeGenForest","qw","BiomeGenBase","net/minecraft/src","0"
"BiomeGenHell","s","BiomeGenBase","net/minecraft/src","0"
"BiomeGenRainforest","ya","BiomeGenBase","net/minecraft/src","0"
"BiomeGenSky","rt","BiomeGenBase","net/minecraft/src","0"
"BiomeGenSwamp","ta","BiomeGenBase","net/minecraft/src","0"
"BiomeGenTaiga","g","BiomeGenBase","net/minecraft/src","0"
"Block","un","","net/minecraft/src","0"
"BlockBed","uw","Block","net/minecraft/src","0"
"BlockBookshelf","gz","Block","net/minecraft/src","0"
"BlockBreakable","jm","Block","net/minecraft/src","0"
"BlockButton","oe","Block","net/minecraft/src","0"
"BlockCactus","on","Block","net/minecraft/src","0"
"BlockCake","ug","Block","net/minecraft/src","0"
"BlockChest","e","BlockContainer","net/minecraft/src","0"
"BlockClay","ru","Block","net/minecraft/src","0"
"BlockCloth","ec","Block","net/minecraft/src","0"
"BlockContainer","rr","Block","net/minecraft/src","0"
"BlockCrops","ne","BlockFlower","net/minecraft/src","0"
"BlockDeadBush","iy","BlockFlower","net/minecraft/src","0"
"BlockDetectorRail","pd","BlockRail","net/minecraft/src","0"
"BlockDirt","op","Block","net/minecraft/src","0"
"BlockDispenser","xh","BlockContainer","net/minecraft/src","0"
"BlockDoor","la","Block","net/minecraft/src","0"
"BlockFarmland","vd","Block","net/minecraft/src","0"
"BlockFence","js","Block","net/minecraft/src","0"
"BlockFire","yh","Block","net/minecraft/src","0"
"BlockFlower","vt","Block","net/minecraft/src","0"
"BlockFlowing","oi","BlockFluid","net/minecraft/src","0"
"BlockFluid","rk","Block","net/minecraft/src","0"
"BlockFurnace","sx","BlockContainer","net/minecraft/src","0"
"BlockGlass","fi","BlockBreakable","net/minecraft/src","0"
"BlockGlowStone","lu","Block","net/minecraft/src","0"
"BlockGrass","wg","Block","net/minecraft/src","0"
"BlockGravel","na","BlockSand","net/minecraft/src","0"
"BlockIce","ng","BlockBreakable","net/minecraft/src","0"
"BlockJukeBox","fm","BlockContainer","net/minecraft/src","0"
"BlockLadder","dn","Block","net/minecraft/src","0"
"BlockLeaves","bj","BlockLeavesBase","net/minecraft/src","0"
"BlockLeavesBase","nn","Block","net/minecraft/src","0"
"BlockLever","xi","Block","net/minecraft/src","0"
"BlockLockedChest","ko","Block","net/minecraft/src","0"
"BlockLog","uy","Block","net/minecraft/src","0"
"BlockMobSpawner","db","BlockContainer","net/minecraft/src","0"
"BlockMushroom","tg","BlockFlower","net/minecraft/src","0"
"BlockNetherrack","xz","Block","net/minecraft/src","0"
"BlockNote","pp","BlockContainer","net/minecraft/src","0"
"BlockObsidian","ez","BlockStone","net/minecraft/src","0"
"BlockOre","mp","Block","net/minecraft/src","0"
"BlockOreStorage","k","Block","net/minecraft/src","0"
"BlockPortal","aj","BlockBreakable","net/minecraft/src","0"
"BlockPressurePlate","bt","Block","net/minecraft/src","0"
"BlockPumpkin","fa","Block","net/minecraft/src","0"
"BlockRail","oy","Block","net/minecraft/src","0"
"BlockRedstoneOre","bq","Block","net/minecraft/src","0"
"BlockRedstoneRepeater","wf","Block","net/minecraft/src","0"
"BlockRedstoneTorch","cz","BlockTorch","net/minecraft/src","0"
"BlockRedstoneWire","sh","Block","net/minecraft/src","0"
"BlockReed","rd","Block","net/minecraft/src","0"
"BlockSand","gi","Block","net/minecraft/src","0"
"BlockSandStone","qy","Block","net/minecraft/src","0"
"BlockSapling","hc","BlockFlower","net/minecraft/src","0"
"BlockSign","ue","BlockContainer","net/minecraft/src","0"
"BlockSnow","jn","Block","net/minecraft/src","0"
"BlockSnowBlock","ab","Block","net/minecraft/src","0"
"BlockSoulSand","nw","Block","net/minecraft/src","0"
"BlockSponge","ww","Block","net/minecraft/src","0"
"BlockStairs","sn","Block","net/minecraft/src","0"
"BlockStationary","nt","BlockFluid","net/minecraft/src","0"
"BlockStep","yj","Block","net/minecraft/src","0"
"BlockStone","em","Block","net/minecraft/src","0"
"BlockTallGrass","rp","BlockFlower","net/minecraft/src","0"
"BlockTNT","ag","Block","net/minecraft/src","0"
"BlockTorch","ve","Block","net/minecraft/src","0"
"BlockTrapDoor","om","Block","net/minecraft/src","0"
"BlockWeb","ri","Block","net/minecraft/src","0"
"BlockWorkbench","fg","Block","net/minecraft/src","0"
"CanvasCrashReport","wm","","net/minecraft/src","0"
