NEW CLASS SPREAD SHEET WITH CROSSVERSION MATCHING
"If you find errors on this sheet, plz put what it should be in the comments column. Don't edit the cell directly. Thx !"
,CLIENT,CLIENT,SERVER,SERVER,Comments
NAME,1.2.5,1.2.6,0.2.7,0.2.8
AxisAlignedBB,cn,co,dv,dw,Axis aligned bounding box
Block,np,nq,gb,gc,Base class and manager for block types
BlockBloodStone,qa,qb,jj,jk,*
BlockBookshelf,eg,eh,gd,ge,*
BlockBreakable,fx,fy,hx,hy,Base class for glass and ice (not used directly)
BlockButton,ix,iy,ap,ap,*
BlockCactus,jd,je,as,as,*
BlockChest,c,c,c,c,*
BlockClay,li,lj,dj,dk,*
BlockContainer,lg,lh,dg,dh,Base class for block that can have content (not used directly)
BlockCrops,if,ig,n,n,*
BlockDirt,je,jf,at,at,*
BlockDoor,gu,gv,jk,jl,Block used for wooden door and iron door
BlockFence,gc,gd,ie,if,*
BlockFire,qg,qh,js,jt,*
BlockFlower,oj,ok,hl,hm,*
BlockFlowing,iz,ja,ar,ar,Block used for flowing water and lava
BlockFluids,lc,ld,da,db,Base class for fluids (not used directly)
BlockFurnace,mi,mj,el,em,*
BlockGlass,dd,de,ev,ew,*
BlockGrass,or,os,hy,hz,*
BlockGravel,ib,ic,k,k,*
BlockIce,ig,ih,o,o,*
BlockJukeBox,df,dg,ez,fa,*
BlockLadder,bz,ca,db,dc,*
BlockLeaves,kl,km,ce,ce,*
BlockLeavesBase,ik,il,r,r,Base class for leaves (not used directly). It seems to be separated out possibly as a base class for objects that change textures based on graphics settings (fancy/fast).
BlockLever,pk,pl,iv,iw,*
BlockLightStone,hj,hk,kh,ki,*
BlockLog,nx,ny,gr,gs,*
BlockMinecartTrack,jm,jn,bb,bb,*
BlockMobSpawner,br,br,cn,cn,*
BlockMushroom,mq,mr,fa,fb,*
BlockObsidian,cv,cw,eo,ep,*
BlockOre,hy,hz,h,h,"Block used for gold, iron, diamond and coal"
BlockOreBlock,e,e,j,j,"Block used for gold, diamond and iron blocks"
BlockPortal,x,x,ai,ai,*
BlockPressurePlate,ap,ap,be,be,*
BlockPumpkin,cw,cx,en,eo,*
BlockRedstoneOre,an,an,bc,bc,*
BlockRedstoneTorch,bo,bo,cl,cl,*
BlockRedstoneWire,lt,lu,dw,dx,*
BlockReed,ky,kz,ct,ct,*
BlockSand,dv,dw,fu,fv,*
BlockSapling,ei,ej,gg,gh,*
BlockSign,nh,ni,fw,fx,Block used for standing signs and wall signs
BlockSlowSand,is,it,ac,ac,*
BlockSnow,fy,fz,ia,ib,*
BlockSnowBlock,s,s,x,x,*
BlockSoil,nz,oa,gw,gx,*
BlockSponge,pc,pd,im,in,*
BlockStairs,ma,mb,ed,ee,*
BlockStationary,iq,ir,z,z,Block used for stationary water and lava
BlockStep,qi,qj,jw,jx,Block used for half step and double step
BlockStone,cm,cn,dt,du,*
BlockTNT,v,v,ab,ab,*
BlockTorch,oa,ob,gz,ha,*
BlockWorkbench,dc,dd,eu,ev,*
CanvasCrashReport,ov,ow,*,*,*
CanvasIsomPreview,ah,ah,*,*,Canvas used for drawing the isometric preview
CanvasMajongLogo,dn,do,*,*,*
CanvasMinecraftApplet,j,j,*,*,*
ChatLine,md,me,*,*,*
Chunk,gz,ha,jt,ju,Chunk of blocks in the world (16x16x128 blocks)
ChunkCache,cr,cs,eh,ei,Caches a bunch of chunks of the world
ChunkCoordinates,ie,if,jy,jz,*
ChunkCoordIntPair,ql,qm,kg,kh,"Pair of integers used as index of chunk (x,z)."
ChunkLoader,mt,mu,fi,fj,Implementation of chunk loader
ChunkPosition,om,on,hr,hs,*
ChunkProviderClient,nq,nr,*,*,Chunk provider which loads chunks from the server
ChunkProviderGenerate,pw,px,je,jf,Chunk provider which generates new chunks (used by other chunk providers)
ChunkProviderHell,ki,kj,by,by,*
ChunkProviderIso,ct,cu,*,*,Chunk provider for iso preview client
ChunkProviderLoadOrGenerate,gr,gs,ja,jb,Chunk provider which either loads chunks or generates them with ChunkProviderGenerate
ChunkProviderServer,*,*,jp,jq,Chunk provider which manages chunks on the server for all clients
ClippingHelper,cb,cc,*,*,*
ClippingHelperImplementation,n,n,*,*,*
CodecMus,fi,fj,*,*,Audio codec for .mus files.
ColorizerFoliage,fs,ft,*,*,*
ColorizerGrass,eu,ev,*,*,*
CompressedStreamTools,ab,ab,an,an,"Provides function to read and write gzipped streams, also used to compress NBT compounds"
ConsoleLogFormatter,*,*,hw,hx,*
ConsoleLogManager,*,*,gh,gi,*
CraftingInventoryCB,ax,ax,*,*,General callbacks for overlay crafting. onGUI_Closed and on_CraftMatrixChanged.
