"name","notch","supername","package","side"
"Start","Start","","","0"
"GuiConnectFailed","dw","GuiScreen","net/minecraft/src","0"
"ScreenShotHelper","fz","","net/minecraft/src","0"
"RenderCow","rf","RenderLiving","net/minecraft/src","0"
"MobSpawnerForest","nu","MobSpawnerBase","net/minecraft/src","0"
"Pathfinder","et","","net/minecraft/src","0"
"Tessellator","lj","","net/minecraft/src","0"
"TileEntitySign","uf","TileEntity","net/minecraft/src","0"
"RenderTNTPrimed","lv","Render","net/minecraft/src","0"
"NetworkWriterThread","th","","net/minecraft/src","0"
"ItemSaddle","op","Item","net/minecraft/src","0"
"SpawnerAnimals","bv","","net/minecraft/src","0"
"TileEntityChest","hx","TileEntity","net/minecraft/src","0"
"BlockFlower","sd","Block","net/minecraft/src","0"
"FontAllowedCharacters","em","","net/minecraft/src","0"
"XBlah","te","","net/minecraft/src","0"
"AchievementMap","a","","net/minecraft/src","0"
"MapGenCavesHell","mm","MapGenBase","net/minecraft/src","0"
"ShapedRecipes","he","","net/minecraft/src","0"
"BlockMinecartTrack","mg","Block","net/minecraft/src","0"
"RenderPainting","db","Render","net/minecraft/src","0"
"EntitySpider","bt","EntityMobs","net/minecraft/src","0"
"BlockStairs","pg","Block","net/minecraft/src","0"
"GameWindowListener","io","","net/minecraft/src","0"
"BlockLog","rl","Block","net/minecraft/src","0"
"TileEntityNote","py","TileEntity","net/minecraft/src","0"
"GuiGameOver","bp","GuiScreen","net/minecraft/src","0"
"GuiButton","ih","Gui","net/minecraft/src","0"
"Packet19","qd","Packet","net/minecraft/src","0"
"MinecraftImpl","ij","Minecraft","net/minecraft/src","0"
"WorldGenClay","kj","WorldGenerator","net/minecraft/src","0"
"RecipesTools","fs","","net/minecraft/src","0"
"TexturePackDefault","me","TexturePackBase","net/minecraft/src","0"
"EntityFX","tr","Entity","net/minecraft/src","0"
"InventoryPlayer","hh","","net/minecraft/src","0"
"McRegionChunkLoader","iy","","net/minecraft/src","0"
"WorldGenLightStone2","ou","WorldGenerator","net/minecraft/src","0"
"MapGenBase","es","","net/minecraft/src","0"
"NoiseGenerator2","bk","","net/minecraft/src","0"
"GuiSleepMP","fc","GuiChat","net/minecraft/src","0"
"ItemSpade","se","ItemTool","net/minecraft/src","0"
"WorldGenCactus","eu","WorldGenerator","net/minecraft/src","0"
"ItemHoe","iw","Item","net/minecraft/src","0"
"RenderSnowball","cl","Render","net/minecraft/src","0"
"BlockTorch","rp","Block","net/minecraft/src","0"
"RenderBoat","ed","Render","net/minecraft/src","0"
"EntityPortalFX","lw","EntityFX","net/minecraft/src","0"
"Packet34EntityTeleport","nz","Packet","net/minecraft/src","0"
"WorldProviderHell","sf","WorldProvider","net/minecraft/src","0"
"RenderManager","ps","","net/minecraft/src","0"
"SaveOldDir","kl","SaveHandler","net/minecraft/src","0"
"EntityArrow","oz","Entity","net/minecraft/src","0"
"WorldGenFlowers","aq","WorldGenerator","net/minecraft/src","0"
"RenderChicken","hb","RenderLiving","net/minecraft/src","0"
"Packet50PreChunk","ot","Packet","net/minecraft/src","0"
"MaterialLogic","af","Material","net/minecraft/src","0"
"GuiAchievement","rq","Gui","net/minecraft/src","0"
"SaveConverterMcRegion","fy","SaveFormatOld","net/minecraft/src","0"
"RenderEngine","ho","","net/minecraft/src","0"
"PanelCrashReport","bj","","net/minecraft/src","0"
"NetClientHandler","ko","NetHandler","net/minecraft/src","0"
"BlockPortal","ac","BlockBreakable","net/minecraft/src","0"
"MathHelper","gz","","net/minecraft/src","0"
"TextureFX","ai","","net/minecraft/src","0"
"GameSettings","is","","net/minecraft/src","0"
"BlockDirt","ly","Block","net/minecraft/src","0"
"XGuiUmmm","cz","Gui","net/minecraft/src","0"
"MouseHelper","sb","","net/minecraft/src","0"
"CanvasIsomPreview","ap","","net/minecraft/src","0"
"RenderSlime","kd","RenderLiving","net/minecraft/src","0"
"IInvBasic","gk","","net/minecraft/src","0"
"BlockNote","mt","BlockContainer","net/minecraft/src","0"
"SaveFormatComparator","rg","","net/minecraft/src","0"
"RenderCreeper","j","RenderLiving","net/minecraft/src","0"
"Packet18ArmAnimation","ky","Packet","net/minecraft/src","0"
"GuiUnused","bm","GuiScreen","net/minecraft/src","0"
"Packet16BlockItemSwitch","gd","Packet","net/minecraft/src","0"
"ThreadSleepForever","ii","","net/minecraft/src","0"
"TexturePackList","gw","","net/minecraft/src","0"
"EnumSkyBlock","de","","net/minecraft/src","0"
"ModelBed","hp","","net/minecraft/src","0"
"Packet17Sleep","id","Packet","net/minecraft/src","0"
"ItemRedstone","gq","Item","net/minecraft/src","0"
"GuiMultiplayer","jk","GuiScreen","net/minecraft/src","0"
"EntitySplashFX","pk","EntityRainFX","net/minecraft/src","0"
"MCHashTable","ib","","net/minecraft/src","0"
"ModelGhast","ji","ModelBase","net/minecraft/src","0"
"TileEntitySpecialRenderer","hk","","net/minecraft/src","0"
"EntityHeartFX","if","EntityFX","net/minecraft/src","0"
"EntityZombie","re","EntityMobs","net/minecraft/src","0"
"EntityPlayerSP","ch","EntityPlayer","net/minecraft/src","0"
"SoundPoolEntry","at","","net/minecraft/src","0"
"ItemSnowball","cr","Item","net/minecraft/src","0"
"TileEntityRenderer","jf","","net/minecraft/src","0"
