"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"field_992_a","errorMessage","a","Ljava/lang/String;","Ljava/lang/String;","GuiConnectFailed","dw","net/minecraft/src","0"
"field_993_h","errorDetail","i","Ljava/lang/String;","Ljava/lang/String;","GuiConnectFailed","dw","net/minecraft/src","0"
"field_4287_a","dateFormat","a","Ljava/text/DateFormat;","Ljava/text/DateFormat;","ScreenShotHelper","fz","net/minecraft/src","0"
"field_4286_b","buffer","b","Ljava/nio/ByteBuffer;","Ljava/nio/ByteBuffer;","ScreenShotHelper","fz","net/minecraft/src","0"
"field_4289_c","pixelData","c","[B","[B","ScreenShotHelper","fz","net/minecraft/src","0"
"field_4288_d","imageData","d","[I","[I","ScreenShotHelper","fz","net/minecraft/src","0"
"field_21197_e","field_21197_e","e","I","I","ScreenShotHelper","fz","net/minecraft/src","0"
"field_21196_f","field_21196_f","f","Ljava/io/DataOutputStream;","Ljava/io/DataOutputStream;","ScreenShotHelper","fz","net/minecraft/src","0"
"field_21195_g","field_21195_g","g","[B","[B","ScreenShotHelper","fz","net/minecraft/src","0"
"field_21194_h","field_21194_h","h","I","I","ScreenShotHelper","fz","net/minecraft/src","0"
"field_21193_i","field_21193_i","i","I","I","ScreenShotHelper","fz","net/minecraft/src","0"
"field_21192_j","field_21192_j","j","Ljava/io/File;","Ljava/io/File;","ScreenShotHelper","fz","net/minecraft/src","0"
"field_1674_a","worldMap","a","LIBlockAccess;","Ltk;","Pathfinder","et","net/minecraft/src","0"
"field_1673_b","path","b","LPath;","Lja;","Pathfinder","et","net/minecraft/src","0"
"field_1676_c","pointMap","c","LMCHashTable;","Lib;","Pathfinder","et","net/minecraft/src","0"
"field_1675_d","pathOptions","d","[LPathPoint;","[Lc;","Pathfinder","et","net/minecraft/src","0"
"field_1511_b","convertQuadsToTriangles","b","Z","Z","Tessellator","lj","net/minecraft/src","0"
"field_1510_c","tryVBO","c","Z","Z","Tessellator","lj","net/minecraft/src","0"
"field_1509_d","byteBuffer","d","Ljava/nio/ByteBuffer;","Ljava/nio/ByteBuffer;","Tessellator","lj","net/minecraft/src","0"
"field_1508_e","intBuffer","e","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","Tessellator","lj","net/minecraft/src","0"
"field_1507_f","floatBuffer","f","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","Tessellator","lj","net/minecraft/src","0"
"field_1506_g","rawBuffer","g","[I","[I","Tessellator","lj","net/minecraft/src","0"
"field_1505_h","vertexCount","h","I","I","Tessellator","lj","net/minecraft/src","0"
"field_1504_i","textureU","i","D","D","Tessellator","lj","net/minecraft/src","0"
"field_1503_j","textureV","j","D","D","Tessellator","lj","net/minecraft/src","0"
"field_1502_k","color","k","I","I","Tessellator","lj","net/minecraft/src","0"
"field_1501_l","hasColor","l","Z","Z","Tessellator","lj","net/minecraft/src","0"
"field_1500_m","hasTexture","m","Z","Z","Tessellator","lj","net/minecraft/src","0"
"field_1499_n","hasNormals","n","Z","Z","Tessellator","lj","net/minecraft/src","0"
"field_1498_o","rawBufferIndex","o","I","I","Tessellator","lj","net/minecraft/src","0"
"field_1497_p","addedVertices","p","I","I","Tessellator","lj","net/minecraft/src","0"
"field_1495_q","isColorDisabled","q","Z","Z","Tessellator","lj","net/minecraft/src","0"
"field_1493_r","drawMode","r","I","I","Tessellator","lj","net/minecraft/src","0"
"field_1492_s","xOffset","s","D","D","Tessellator","lj","net/minecraft/src","0"
