"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"main","main","main","([Ljava/lang/String;)V","([Ljava/lang/String;)V","Minecraft","Minecraft","net/minecraft/client","0"
"func_570_g","updateScreen","g","()V","()V","GuiScreen","cf","net/minecraft/src","0"
"func_580_a","keyTyped","a","(CI)V","(CI)V","GuiScreen","cf","net/minecraft/src","0"
"func_6448_a","initGui","a","()V","()V","GuiScreen","cf","net/minecraft/src","0"
"func_572_a","actionPerformed","a","(LGuiButton;)V","(Lih;)V","GuiScreen","cf","net/minecraft/src","0"
"func_571_a","drawScreen","a","(IIF)V","(IIF)V","GuiScreen","cf","net/minecraft/src","0"
"func_4148_a","saveScreenshot","a","(Ljava/io/File;II)Ljava/lang/String;","(Ljava/io/File;II)Ljava/lang/String;","ScreenShotHelper","fz","net/minecraft/src","0"
"func_21189_a","func_21189_a","a","(Ljava/nio/ByteBuffer;IIII)V","(Ljava/nio/ByteBuffer;IIII)V","ScreenShotHelper","fz","net/minecraft/src","0"
"func_21191_a","func_21191_a","a","()V","()V","ScreenShotHelper","fz","net/minecraft/src","0"
"func_21190_b","func_21190_b","b","()Ljava/lang/String;","()Ljava/lang/String;","ScreenShotHelper","fz","net/minecraft/src","0"
"func_177_a","func_177_a","a","(LEntityCow;DDDFF)V","(Lbf;DDDFF)V","RenderCow","rf","net/minecraft/src","0"
"func_171_a","doRenderLiving","a","(LEntityLiving;DDDFF)V","(Ljm;DDDFF)V","RenderLiving","fo","net/minecraft/src","0"
"func_147_a","doRender","a","(LEntity;DDDFF)V","(Lpb;DDDFF)V","Render","be","net/minecraft/src","0"
"func_21107_a","getRandomWorldGenForTrees","a","(Ljava/util/Random;)LWorldGenerator;","(Ljava/util/Random;)Lmk;","MobSpawnerBase","ig","net/minecraft/src","0"
"func_1137_a","createEntityPathTo","a","(LEntity;LEntity;F)LPathEntity;","(Lpb;Lpb;F)Lcm;","Pathfinder","et","net/minecraft/src","0"
"func_1131_a","createEntityPathTo","a","(LEntity;IIIF)LPathEntity;","(Lpb;IIIF)Lcm;","Pathfinder","et","net/minecraft/src","0"
"func_1130_a","createEntityPathTo","a","(LEntity;DDDF)LPathEntity;","(Lpb;DDDF)Lcm;","Pathfinder","et","net/minecraft/src","0"
