"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"field_992_a","errorMessage","a","Ljava/lang/String;","Ljava/lang/String;","GuiConnectFailed","en","net/minecraft/src","0"
"field_993_h","errorDetail","i","Ljava/lang/String;","Ljava/lang/String;","GuiConnectFailed","en","net/minecraft/src","0"
"field_4287_a","dateFormat","a","Ljava/text/DateFormat;","Ljava/text/DateFormat;","ScreenShotHelper","gx","net/minecraft/src","0"
"field_4286_b","buffer","b","Ljava/nio/ByteBuffer;","Ljava/nio/ByteBuffer;","ScreenShotHelper","gx","net/minecraft/src","0"
"field_4289_c","pixelData","c","[B","[B","ScreenShotHelper","gx","net/minecraft/src","0"
"field_4288_d","imageData","d","[I","[I","ScreenShotHelper","gx","net/minecraft/src","0"
"field_27292_a","field_27292_a","a","LJ_JsonFieldBuilder;","Loo;","J_FieldNodeContainer","mf","net/minecraft/src","0"
"field_27291_b","field_27291_b","b","LJ_JsonListenerToJdomAdapter;","Lkx;","J_FieldNodeContainer","mf","net/minecraft/src","0"
"field_204_f","scale","a","F","F","RenderGiantZombie","ww","net/minecraft/src","0"
"field_1674_a","worldMap","a","LIBlockAccess;","Lwf;","Pathfinder","fl","net/minecraft/src","0"
"field_1673_b","path","b","LPath;","Lkj;","Pathfinder","fl","net/minecraft/src","0"
"field_1676_c","pointMap","c","LMCHash;","Ljd;","Pathfinder","fl","net/minecraft/src","0"
"field_1675_d","pathOptions","d","[LPathPoint;","[Ld;","Pathfinder","fl","net/minecraft/src","0"
"field_27275_a","field_27275_a","a","LGuiStats;","Ldn;","GuiSlotStatsItem","cb","net/minecraft/src","0"
"field_27276_a","field_27276_a","a","LGuiStats;","Ldn;","GuiSlotStatsGeneral","rq","net/minecraft/src","0"
"field_1511_b","convertQuadsToTriangles","b","Z","Z","Tessellator","na","net/minecraft/src","0"
"field_1510_c","tryVBO","c","Z","Z","Tessellator","na","net/minecraft/src","0"
"field_1509_d","byteBuffer","d","Ljava/nio/ByteBuffer;","Ljava/nio/ByteBuffer;","Tessellator","na","net/minecraft/src","0"
"field_1508_e","intBuffer","e","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","Tessellator","na","net/minecraft/src","0"
"field_1507_f","floatBuffer","f","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","Tessellator","na","net/minecraft/src","0"
"field_1506_g","rawBuffer","g","[I","[I","Tessellator","na","net/minecraft/src","0"
"field_1505_h","vertexCount","h","I","I","Tessellator","na","net/minecraft/src","0"
"field_1504_i","textureU","i","D","D","Tessellator","na","net/minecraft/src","0"
"field_1503_j","textureV","j","D","D","Tessellator","na","net/minecraft/src","0"
"field_1502_k","color","k","I","I","Tessellator","na","net/minecraft/src","0"
"field_1501_l","hasColor","l","Z","Z","Tessellator","na","net/minecraft/src","0"
"field_1500_m","hasTexture","m","Z","Z","Tessellator","na","net/minecraft/src","0"
"field_1499_n","hasNormals","n","Z","Z","Tessellator","na","net/minecraft/src","0"
"field_1498_o","rawBufferIndex","o","I","I","Tessellator","na","net/minecraft/src","0"
"field_1497_p","addedVertices","p","I","I","Tessellator","na","net/minecraft/src","0"
"field_1495_q","isColorDisabled","q","Z","Z","Tessellator","na","net/minecraft/src","0"
"field_1493_r","drawMode","r","I","I","Tessellator","na","net/minecraft/src","0"
"field_1492_s","xOffset","s","D","D","Tessellator","na","net/minecraft/src","0"
"field_1491_t","yOffset","t","D","D","Tessellator","na","net/minecraft/src","0"
"field_1490_u","zOffset","u","D","D","Tessellator","na","net/minecraft/src","0"
"field_1489_v","normal","v","I","I","Tessellator","na","net/minecraft/src","0"
"field_1512_a","instance","a","LTessellator;","Lna;","Tessellator","na","net/minecraft/src","0"
"field_1488_w","isDrawing","w","Z","Z","Tessellator","na","net/minecraft/src","0"
"field_1487_x","useVBO","x","Z","Z","Tessellator","na","net/minecraft/src","0"
"field_1486_y","vertexBuffers","y","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","Tessellator","na","net/minecraft/src","0"
"field_1485_z","vboIndex","z","I","I","Tessellator","na","net/minecraft/src","0"
"field_1496_A","vboCount","A","I","I","Tessellator","na","net/minecraft/src","0"
"field_1494_B","bufferSize","B","I","I","Tessellator","na","net/minecraft/src","0"
"field_826_a","signText","a","[Ljava/lang/String;","[Ljava/lang/String;","TileEntitySign","xa","net/minecraft/src","0"
"field_825_b","lineBeingEdited","b","I","I","TileEntitySign","xa","net/minecraft/src","0"
"field_25062_c","field_25062_c","c","Z","Z","TileEntitySign","xa","net/minecraft/src","0"
