"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"func_570_g","updateScreen","g","()V","()V","GuiScreen","cs","net/minecraft/src","0"
"func_580_a","keyTyped","a","(CI)V","(CI)V","GuiScreen","cs","net/minecraft/src","0"
"func_6448_a","initGui","a","()V","()V","GuiScreen","cs","net/minecraft/src","0"
"func_572_a","actionPerformed","a","(LGuiButton;)V","(Ljk;)V","GuiScreen","cs","net/minecraft/src","0"
"func_571_a","drawScreen","a","(IIF)V","(IIF)V","GuiScreen","cs","net/minecraft/src","0"
"func_4148_a","saveScreenshot","a","(Ljava/io/File;II)Ljava/lang/String;","(Ljava/io/File;II)Ljava/lang/String;","ScreenShotHelper","gx","net/minecraft/src","0"
"func_177_a","func_177_a","a","(LEntityCow;DDDFF)V","(Lbq;DDDFF)V","RenderCow","tt","net/minecraft/src","0"
"func_171_a","doRenderLiving","a","(LEntityLiving;DDDFF)V","(Lkw;DDDFF)V","RenderLiving","gk","net/minecraft/src","0"
"func_147_a","doRender","a","(LEntity;DDDFF)V","(Lrj;DDDFF)V","Render","bp","net/minecraft/src","0"
"func_27290_a","func_27290_a","a","(LJ_JsonNodeBuilder;)V","(Lkf;)V","J_NodeContainer","ov","net/minecraft/src","0"
"func_27289_a","func_27289_a","a","(LJ_JsonFieldBuilder;)V","(Loo;)V","J_NodeContainer","ov","net/minecraft/src","0"
"func_175_a","preRenderScale","a","(LEntityGiantZombie;F)V","(Lmx;F)V","RenderGiantZombie","ww","net/minecraft/src","0"
"func_6330_a","preRenderCallback","a","(LEntityLiving;F)V","(Lkw;F)V","RenderLiving","gk","net/minecraft/src","0"
"func_1137_a","createEntityPathTo","a","(LEntity;LEntity;F)LPathEntity;","(Lrj;Lrj;F)Lcz;","Pathfinder","fl","net/minecraft/src","0"
"func_1131_a","createEntityPathTo","a","(LEntity;IIIF)LPathEntity;","(Lrj;IIIF)Lcz;","Pathfinder","fl","net/minecraft/src","0"
"func_1130_a","createEntityPathTo","a","(LEntity;DDDF)LPathEntity;","(Lrj;DDDF)Lcz;","Pathfinder","fl","net/minecraft/src","0"
"func_1129_a","addToPath","a","(LEntity;LPathPoint;LPathPoint;LPathPoint;F)LPathEntity;","(Lrj;Ld;Ld;Ld;F)Lcz;","Pathfinder","fl","net/minecraft/src","0"
"func_1133_b","findPathOptions","b","(LEntity;LPathPoint;LPathPoint;LPathPoint;F)I","(Lrj;Ld;Ld;Ld;F)I","Pathfinder","fl","net/minecraft/src","0"
"func_1135_a","getSafePoint","a","(LEntity;IIILPathPoint;I)LPathPoint;","(Lrj;IIILd;I)Ld;","Pathfinder","fl","net/minecraft/src","0"
"func_1136_a","openPoint","a","(III)LPathPoint;","(III)Ld;","Pathfinder","fl","net/minecraft/src","0"
"func_1132_a","getVerticalOffset","a","(LEntity;IIILPathPoint;)I","(Lrj;IIILd;)I","Pathfinder","fl","net/minecraft/src","0"
"func_1134_a","createEntityPath","a","(LPathPoint;LPathPoint;)LPathEntity;","(Ld;Ld;)Lcz;","Pathfinder","fl","net/minecraft/src","0"
"func_27260_a","func_27260_a","a","(IILTessellator;)V","(IILna;)V","GuiSlot","kk","net/minecraft/src","0"
"func_22242_a","drawSlot","a","(IIIILTessellator;)V","(IIIILna;)V","GuiSlot","kk","net/minecraft/src","0"
"func_27263_a","func_27263_a","a","(I)Ljava/lang/String;","(I)Ljava/lang/String;","GuiSlotStats","if","net/minecraft/src","0"
"func_22249_a","getSize","a","()I","()I","GuiSlot","kk","net/minecraft/src","0"
"func_22247_a","elementClicked","a","(IZ)V","(IZ)V","GuiSlot","kk","net/minecraft/src","0"
"func_22246_a","isSelected","a_","(I)Z","(I)Z","GuiSlot","kk","net/minecraft/src","0"
"func_22245_b","getContentHeight","b","()I","()I","GuiSlot","kk","net/minecraft/src","0"
"func_22248_c","drawBackground","c","()V","()V","GuiSlot","kk","net/minecraft/src","0"
"func_982_a","draw","a","()V","()V","Tessellator","na","net/minecraft/src","0"
"func_985_d","reset","d","()V","()V","Tessellator","na","net/minecraft/src","0"
"func_977_b","startDrawingQuads","b","()V","()V","Tessellator","na","net/minecraft/src","0"
"func_992_a","startDrawing","a","(I)V","(I)V","Tessellator","na","net/minecraft/src","0"
"func_981_a","setTextureUV","a","(DD)V","(DD)V","Tessellator","na","net/minecraft/src","0"
"func_987_a","setColorOpaque_F","a","(FFF)V","(FFF)V","Tessellator","na","net/minecraft/src","0"
"func_986_a","setColorRGBA_F","a","(FFFF)V","(FFFF)V","Tessellator","na","net/minecraft/src","0"
"func_979_a","setColorOpaque","a","(III)V","(III)V","Tessellator","na","net/minecraft/src","0"
"func_978_a","setColorRGBA","a","(IIII)V","(IIII)V","Tessellator","na","net/minecraft/src","0"
"func_983_a","addVertexWithUV","a","(DDDDD)V","(DDDDD)V","Tessellator","na","net/minecraft/src","0"
"func_991_a","addVertex","a","(DDD)V","(DDD)V","Tessellator","na","net/minecraft/src","0"
"func_990_b","setColorOpaque_I","b","(I)V","(I)V","Tessellator","na","net/minecraft/src","0"
"func_6513_a","setColorRGBA_I","a","(II)V","(II)V","Tessellator","na","net/minecraft/src","0"
"func_989_c","disableColor","c","()V","()V","Tessellator","na","net/minecraft/src","0"
"func_980_b","setNormal","b","(FFF)V","(FFF)V","Tessellator","na","net/minecraft/src","0"
"func_984_b","setTranslationD","b","(DDD)V","(DDD)V","Tessellator","na","net/minecraft/src","0"
"func_988_c","setTranslationF","c","(FFF)V","(FFF)V","Tessellator","na","net/minecraft/src","0"
"func_481_b","writeToNBT","b","(LNBTTagCompound;)V","(Lmy;)V","TileEntity","nx","net/minecraft/src","0"
"func_482_a","readFromNBT","a","(LNBTTagCompound;)V","(Lmy;)V","TileEntity","nx","net/minecraft/src","0"
"func_153_a","func_153_a","a","(LEntityTNTPrimed;DDDFF)V","(Lpw;DDDFF)V","RenderTNTPrimed","nq","net/minecraft/src","0"
"run","run","run","()V","()V","Minecraft","Minecraft","net/minecraft/client","0"
