"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"field_28006_b","field_28006_b","b","[B","[B","Minecraft","Minecraft","net/minecraft/client","0"
"field_21900_a","theMinecraft","a","LMinecraft;","LMinecraft;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6327_b","playerController","c","LPlayerController;","Lnx;","Minecraft","Minecraft","net/minecraft/client","0"
"field_185_a","fullscreen","Q","Z","Z","Minecraft","Minecraft","net/minecraft/client","0"
"field_28004_R","field_28004_R","R","Z","Z","Minecraft","Minecraft","net/minecraft/client","0"
"field_6326_c","displayWidth","d","I","I","Minecraft","Minecraft","net/minecraft/client","0"
"field_6325_d","displayHeight","e","I","I","Minecraft","Minecraft","net/minecraft/client","0"
"field_6286_O","glCapabilities","S","LOpenGlCapsChecker;","Lcv;","Minecraft","Minecraft","net/minecraft/client","0"
"field_9237_P","timer","T","LTimer;","Lpu;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6324_e","theWorld","f","LWorld;","Lfb;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6323_f","renderGlobal","g","LRenderGlobal;","Lm;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6322_g","thePlayer","h","LEntityPlayerSP;","Lda;","Minecraft","Minecraft","net/minecraft/client","0"
"field_22009_h","renderViewEntity","i","LEntityLiving;","Llo;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6321_h","effectRenderer","j","LEffectRenderer;","Ldl;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6320_i","session","k","LSession;","Lgp;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6319_j","minecraftUri","l","Ljava/lang/String;","Ljava/lang/String;","Minecraft","Minecraft","net/minecraft/client","0"
"field_9244_k","mcCanvas","m","Ljava/awt/Canvas;","Ljava/awt/Canvas;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6317_l","hideQuitButton","n","Z","Z","Minecraft","Minecraft","net/minecraft/client","0"
"field_6316_m","isGamePaused","o","Z","Z","Minecraft","Minecraft","net/minecraft/client","0"
"field_6315_n","renderEngine","p","LRenderEngine;","Ljf;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6314_o","fontRenderer","q","LFontRenderer;","Lse;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6313_p","currentScreen","r","LGuiScreen;","Lcy;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6312_q","loadingScreen","s","LLoadingScreenRenderer;","Lmg;","Minecraft","Minecraft","net/minecraft/client","0"
"field_9243_r","entityRenderer","t","LEntityRenderer;","Lpt;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6284_Q","downloadResourcesThread","U","LThreadDownloadResources;","Lcx;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6283_R","ticksRan","V","I","I","Minecraft","Minecraft","net/minecraft/client","0"
"field_6282_S","leftClickCounter","W","I","I","Minecraft","Minecraft","net/minecraft/client","0"
"field_9236_T","tempDisplayWidth","X","I","I","Minecraft","Minecraft","net/minecraft/client","0"
"field_9235_U","tempDisplayHeight","Y","I","I","Minecraft","Minecraft","net/minecraft/client","0"
"field_25002_t","guiAchievement","u","LGuiAchievement;","Lvm;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6308_u","ingameGUI","v","LGuiIngame;","Luk;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6307_v","skipRenderWorld","w","Z","Z","Minecraft","Minecraft","net/minecraft/client","0"
"field_9242_w","field_9242_w","x","LModelBiped;","Lff;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6305_x","objectMouseOver","y","LMovingObjectPosition;","Lux;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6304_y","gameSettings","z","LGameSettings;","Lkr;","Minecraft","Minecraft","net/minecraft/client","0"
"field_9241_z","mcApplet","A","LMinecraftApplet;","LMinecraftApplet;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6301_A","sndManager","B","LSoundManager;","Lyf;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6299_B","mouseHelper","C","LMouseHelper;","Lvq;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6298_C","texturePackList","D","LTexturePackList;","Lih;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6297_D","mcDataDir","Z","Ljava/io/File;","Ljava/io/File;","Minecraft","Minecraft","net/minecraft/client","0"
"field_22008_V","saveLoader","aa","LISaveFormat;","Lnh;","Minecraft","Minecraft","net/minecraft/client","0"
"field_9240_E","frameTimes","E","[J","[J","Minecraft","Minecraft","net/minecraft/client","0"
"field_9239_F","tickTimes","F","[J","[J","Minecraft","Minecraft","net/minecraft/client","0"
"field_9238_G","numRecordedFrameTimes","G","I","I","Minecraft","Minecraft","net/minecraft/client","0"
"field_28005_H","hasPaidCheckTime","H","J","J","Minecraft","Minecraft","net/minecraft/client","0"
"field_25001_G","statFileWriter","I","LStatFileWriter;","Lwz;","Minecraft","Minecraft","net/minecraft/client","0"
"field_9234_V","serverName","ab","Ljava/lang/String;","Ljava/lang/String;","Minecraft","Minecraft","net/minecraft/client","0"
"field_9233_W","serverPort","ac","I","I","Minecraft","Minecraft","net/minecraft/client","0"
"field_9232_X","textureWaterFX","ad","LTextureWaterFX;","Lvk;","Minecraft","Minecraft","net/minecraft/client","0"
"field_9231_Y","textureLavaFX","ae","LTextureLavaFX;","Lce;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6275_Z","minecraftDir","af","Ljava/io/File;","Ljava/io/File;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6293_H","running","J","Z","Z","Minecraft","Minecraft","net/minecraft/client","0"
"field_6292_I","debug","K","Ljava/lang/String;","Ljava/lang/String;","Minecraft","Minecraft","net/minecraft/client","0"
"field_6291_J","isTakingScreenshot","L","Z","Z","Minecraft","Minecraft","net/minecraft/client","0"
"field_6290_K","prevFrameTime","M","J","J","Minecraft","Minecraft","net/minecraft/client","0"
"field_6289_L","inGameHasFocus","N","Z","Z","Minecraft","Minecraft","net/minecraft/client","0"
"field_6302_aa","mouseTicksRan","ag","I","I","Minecraft","Minecraft","net/minecraft/client","0"
"field_6288_M","isRaining","O","Z","Z","Minecraft","Minecraft","net/minecraft/client","0"
"field_6287_N","systemTime","P","J","J","Minecraft","Minecraft","net/minecraft/client","0"
"field_6300_ab","joinPlayerCounter","ah","I","I","Minecraft","Minecraft","net/minecraft/client","0"
"field_6235_a","mcCanvas","a","Ljava/awt/Canvas;","Ljava/awt/Canvas;","MinecraftApplet","MinecraftApplet","net/minecraft/client","0"
"field_6234_b","mc","b","LMinecraft;","LMinecraft;","MinecraftApplet","MinecraftApplet","net/minecraft/client","0"
"field_6236_c","mcThread","c","Ljava/lang/Thread;","Ljava/lang/Thread;","MinecraftApplet","MinecraftApplet","net/minecraft/client","0"
"field_30001_a","field_30001_a","a","LCanvasIsomPreview;","Lbc;","IsomPreviewApplet","IsomPreviewApplet","net/minecraft/isom","0"
"field_25075_a","displayColumn","a","I","I","Achievement","nu","net/minecraft/src","0"
"field_25074_b","displayRow","b","I","I","Achievement","nu","net/minecraft/src","0"
"field_25076_c","parentAchievement","c","LAchievement;","Lnu;","Achievement","nu","net/minecraft/src","0"
"field_27096_l","achievementDescription","l","Ljava/lang/String;","Ljava/lang/String;","Achievement","nu","net/minecraft/src","0"
"field_27095_m","statStringFormatter","m","LIStatStringFormat;","Lgr;","Achievement","nu","net/minecraft/src","0"
"field_27097_d","theItemStack","d","LItemStack;","Liw;","Achievement","nu","net/minecraft/src","0"
"field_27098_n","isSpecial","n","Z","Z","Achievement","nu","net/minecraft/src","0"
"field_27392_a","minDisplayColumn","a","I","I","AchievementList","en","net/minecraft/src","0"
"field_27391_b","minDisplayRow","b","I","I","AchievementList","en","net/minecraft/src","0"
"field_27390_c","maxDisplayColumn","c","I","I","AchievementList","en","net/minecraft/src","0"
