"name","notch","supername","package","side"
"RecipesArmor","rp","","net/minecraft/src","0"
"BiomeGenHills","aei","BiomeGenBase","net/minecraft/src","0"
"ComponentVillage","aex","StructureComponent","net/minecraft/src","0"
"ModelSheep1","cx","ModelQuadruped","net/minecraft/src","0"
"Packet1Login","aaz","Packet","net/minecraft/src","0"
"GuiDownloadTerrain","ej","GuiScreen","net/minecraft/src","0"
"StatTypeTime","bc","","net/minecraft/src","0"
"IProgressUpdate","qe","","net/minecraft/src","0"
"EntityDragonBase","afx","EntityLiving","net/minecraft/src","0"
"InventoryCraftResult","agt","","net/minecraft/src","0"
"SaveOldDir","aag","SaveHandler","net/minecraft/src","0"
"ItemHoe","hd","Item","net/minecraft/src","0"
"EntityFX","qb","Entity","net/minecraft/src","0"
"Packet54PlayNoteBlock","ot","Packet","net/minecraft/src","0"
"BlockNetherrack","qj","Block","net/minecraft/src","0"
"IBlockAccess","ahp","","net/minecraft/src","0"
"RenderManager","ael","","net/minecraft/src","0"
"EntityEnderman","if","EntityMob","net/minecraft/src","0"
"EntityAuraFX","vm","EntityFX","net/minecraft/src","0"
"BlockRedstoneRepeater","pi","Block","net/minecraft/src","0"
"ModelMinecart","aaq","ModelBase","net/minecraft/src","0"
"RenderDragon","ne","RenderLiving","net/minecraft/src","0"
"Packet2Handshake","ie","Packet","net/minecraft/src","0"
"RenderGlobal","j","","net/minecraft/src","0"
"J_JsonArrayNodeBuilder","ue","","net/minecraft/src","0"
"ItemRecord","aet","Item","net/minecraft/src","0"
"WorldGenFlowers","sd","WorldGenerator","net/minecraft/src","0"
"BlockTallGrass","ls","BlockFlower","net/minecraft/src","0"
"ComponentStrongholdCrossing","agc","ComponentStronghold","net/minecraft/src","0"
"ModelBoat","up","ModelBase","net/minecraft/src","0"
"ModelChest","adu","ModelBase","net/minecraft/src","0"
"ThreadedFileIOBase","bs","","net/minecraft/src","0"
"EntityFlying","agw","EntityLiving","net/minecraft/src","0"
"EnumCreatureAttribute","bb","","net/minecraft/src","0"
"EffectRenderer","ck","","net/minecraft/src","0"
"RegionFileChunkBuffer","wz","","net/minecraft/src","0"
"SoundPool","wt","","net/minecraft/src","0"
"GuiSlotStatsBlock","eb","GuiSlotStats","net/minecraft/src","0"
"NetworkReaderThread","pt","","net/minecraft/src","0"
"GuiConflictWarning","acs","GuiScreen","net/minecraft/src","0"
"MaterialPortal","abs","Material","net/minecraft/src","0"
"Packet106Transaction","jl","Packet","net/minecraft/src","0"
"MovingObjectPosition","nx","","net/minecraft/src","0"
"EntitySpellParticleFX","ok","EntityFX","net/minecraft/src","0"
"BlockTNT","z","Block","net/minecraft/src","0"
"Material","zo","","net/minecraft/src","0"
"ComponentNetherBridgeStraight","cn","ComponentNetherBridgePiece","net/minecraft/src","0"
"BlockStationary","aax","BlockFluid","net/minecraft/src","0"
"ChunkPosition","oz","","net/minecraft/src","0"
"BlockLeavesBase","jd","Block","net/minecraft/src","0"
"NextTickListEntry","lg","","net/minecraft/src","0"
"J_SajParser","aj","","net/minecraft/src","0"
"InventoryCrafting","aad","","net/minecraft/src","0"
"ComponentStrongholdRightTurn","jq","ComponentStrongholdLeftTurn","net/minecraft/src","0"
"EntityPigZombie","ahy","EntityZombie","net/minecraft/src","0"
"Gui","nb","","net/minecraft/src","0"
"GenLayerSnow","rv","GenLayer","net/minecraft/src","0"
"EntityFootStepFX","vx","EntityFX","net/minecraft/src","0"
"FontRenderer","mb","","net/minecraft/src","0"
"GuiSlider","agi","GuiButton","net/minecraft/src","0"
"RenderItem","sa","Render","net/minecraft/src","0"
"ItemStack","xs","","net/minecraft/src","0"
"ItemPotion","du","Item","net/minecraft/src","0"
"Packet31RelEntityMove","mj","Packet30Entity","net/minecraft/src","0"
"RenderGiantZombie","aid","RenderLiving","net/minecraft/src","0"
"SaveFormatOld","aer","","net/minecraft/src","0"
"EntityClientPlayerMP","aem","EntityPlayerSP","net/minecraft/src","0"
"MaterialWeb","yh","Material","net/minecraft/src","0"
"EntityPortalFX","abl","EntityFX","net/minecraft/src","0"
"BlockFence","yk","Block","net/minecraft/src","0"
"KeyBinding","acp","","net/minecraft/src","0"
"MapGenStructure","adm","MapGenBase","net/minecraft/src","0"
"BlockLeaves","sh","BlockLeavesBase","net/minecraft/src","0"
"BlockNote","acl","BlockContainer","net/minecraft/src","0"
"BlockLockedChest","yz","Block","net/minecraft/src","0"
"BiomeGenDesert","aef","BiomeGenBase","net/minecraft/src","0"
"StructureVillagePieceWeight","dh","","net/minecraft/src","0"
"EnchantmentDigging","ts","Enchantment","net/minecraft/src","0"
"StatsSyncher","tb","","net/minecraft/src","0"
"EnumDoorHelper","ak","","net/minecraft/src","0"
"EntityFallingSand","yj","Entity","net/minecraft/src","0"
"ChunkFilePattern","adp","","net/minecraft/src","0"
"J_LeafFunctor","at","","net/minecraft/src","0"
"ItemEnderEye","oa","Item","net/minecraft/src","0"
"ModelEnderman","sg","ModelBiped","net/minecraft/src","0"
"Packet28EntityVelocity","vu","Packet","net/minecraft/src","0"
"ComponentVillagePathGen","aeu","ComponentVillageRoadPiece","net/minecraft/src","0"
"MapGenStronghold","ve","MapGenStructure","net/minecraft/src","0"
"J_JsonTrueNodeBuilder","afa","","net/minecraft/src","0"
"WorldGenDeadBush","za","WorldGenerator","net/minecraft/src","0"
"ISaveHandler","agy","","net/minecraft/src","0"
"BlockFenceGate","afr","Block","net/minecraft/src","0"
"Packet130UpdateSign","afj","Packet","net/minecraft/src","0"
"RenderSlime","ic","RenderLiving","net/minecraft/src","0"
"WorldProviderEnd","hj","WorldProvider","net/minecraft/src","0"
"RenderArrow","hu","Render","net/minecraft/src","0"
"ComponentNetherBridgeCrossing3","kv","ComponentNetherBridgePiece","net/minecraft/src","0"
"ItemPainting","aif","Item","net/minecraft/src","0"
"CodecMus","xh","","net/minecraft/src","0"
"GuiChest","ws","GuiContainer","net/minecraft/src","0"
"MinecraftError","qc","","net/minecraft/src","0"
"EnchantmentKnockback","kn","Enchantment","net/minecraft/src","0"
"EntitySlimeFX","jz","EntityFX","net/minecraft/src","0"
"WorldGenDungeons","de","WorldGenerator","net/minecraft/src","0"
"ItemRenderer","li","","net/minecraft/src","0"
"WorldGenSand","ed","WorldGenerator","net/minecraft/src","0"
"SoundPoolEntry","se","","net/minecraft/src","0"
"RenderLiving","en","Render","net/minecraft/src","0"
"BlockCactus","abm","Block","net/minecraft/src","0"
"PacketCount","agq","","net/minecraft/src","0"
"EntityPlayer","wd","EntityLiving","net/minecraft/src","0"
"BiomeGenBase","yq","","net/minecraft/src","0"
"MaterialLiquid","adw","Material","net/minecraft/src","0"
"SaveConverterMcRegion","ex","SaveFormatOld","net/minecraft/src","0"
"PlayerControllerSP","abn","PlayerController","net/minecraft/src","0"
"Packet12PlayerLook","oc","Packet10Flying","net/minecraft/src","0"
"ThreadCloseConnection","ps","","net/minecraft/src","0"
"ContainerEnchantment","fr","Container","net/minecraft/src","0"
"LoadingScreenRenderer","ib","","net/minecraft/src","0"
"Packet6SpawnPosition","adg","Packet","net/minecraft/src","0"
"BlockBreakable","gd","Block","net/minecraft/src","0"
"TextureWaterFlowFX","abh","TextureFX","net/minecraft/src","0"
"ComponentNetherBridgeNetherBrickRoom","uo","ComponentNetherBridgePiece","net/minecraft/src","0"
