"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"field_1681_a","recipePatterns","a","[[Ljava/lang/String;","[[Ljava/lang/String;","RecipesArmor","rp","net/minecraft/src","0"
"field_1680_b","recipeItems","b","[[Ljava/lang/Object;","[[Ljava/lang/Object;","RecipesArmor","rp","net/minecraft/src","0"
"field_39009_a","field_39009_a","a","I","I","ComponentVillage","aex","net/minecraft/src","0"
"field_519_a","protocolVersion","a","I","I","Packet1Login","aaz","net/minecraft/src","0"
"field_518_b","username","b","Ljava/lang/String;","Ljava/lang/String;","Packet1Login","aaz","net/minecraft/src","0"
"field_4074_d","mapSeed","c","J","J","Packet1Login","aaz","net/minecraft/src","0"
"field_35249_d","serverMode","d","I","I","Packet1Login","aaz","net/minecraft/src","0"
"field_35250_e","worldType","e","B","B","Packet1Login","aaz","net/minecraft/src","0"
"field_35247_f","difficultySetting","f","B","B","Packet1Login","aaz","net/minecraft/src","0"
"field_35248_g","worldHeight","g","B","B","Packet1Login","aaz","net/minecraft/src","0"
"field_35251_h","maxPlayers","h","B","B","Packet1Login","aaz","net/minecraft/src","0"
"field_983_a","netHandler","a","LNetClientHandler;","Laak;","GuiDownloadTerrain","ej","net/minecraft/src","0"
"field_984_h","updateCounter","b","I","I","GuiDownloadTerrain","ej","net/minecraft/src","0"
"field_40157_aB","field_40157_aB","aB","I","I","EntityDragonBase","afx","net/minecraft/src","0"
"field_818_a","stackResult","a","[LItemStack;","[Lxs;","InventoryCraftResult","agt","net/minecraft/src","0"
"field_670_b","particleTextureIndex","a","I","I","EntityFX","qb","net/minecraft/src","0"
"field_669_c","particleTextureJitterX","b","F","F","EntityFX","qb","net/minecraft/src","0"
"field_668_d","particleTextureJitterY","c","F","F","EntityFX","qb","net/minecraft/src","0"
"field_20923_e","particleAge","d","I","I","EntityFX","qb","net/minecraft/src","0"
"field_666_f","particleMaxAge","e","I","I","EntityFX","qb","net/minecraft/src","0"
