"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"b","b","b","(D)I","(D)I","et","et","","0"
"func_1148_a","addRecipes","a","(LCraftingManager;)V","(Lez;)V","RecipesArmor","rp","net/minecraft/src","0"
"func_35077_a","func_35077_a","a","(LComponentVillageStartPiece;Ljava/util/List;Ljava/util/Random;II)LStructureComponent;","(Lf;Ljava/util/List;Ljava/util/Random;II)Lgh;","ComponentVillage","aex","net/minecraft/src","0"
"func_35076_b","func_35076_b","b","(LComponentVillageStartPiece;Ljava/util/List;Ljava/util/Random;II)LStructureComponent;","(Lf;Ljava/util/List;Ljava/util/Random;II)Lgh;","ComponentVillage","aex","net/minecraft/src","0"
"func_35075_b","getAverageGroundLevel","b","(LWorld;LStructureBoundingBox;)I","(Luu;Lou;)I","ComponentVillage","aex","net/minecraft/src","0"
"func_35074_a","canVillageGoDeeper","a","(LStructureBoundingBox;)Z","(Lou;)Z","ComponentVillage","aex","net/minecraft/src","0"
"func_40044_a","func_40044_a","a","(LWorld;LStructureBoundingBox;IIII)V","(Luu;Lou;IIII)V","ComponentVillage","aex","net/minecraft/src","0"
"func_40043_a","func_40043_a","a","(I)I","(I)I","ComponentVillage","aex","net/minecraft/src","0"
"func_594_b","func_594_b","b","(Ljava/lang/String;)V","(Ljava/lang/String;)V","IProgressUpdate","qe","net/minecraft/src","0"
"func_595_d","displayLoadingString","d","(Ljava/lang/String;)V","(Ljava/lang/String;)V","IProgressUpdate","qe","net/minecraft/src","0"
"func_593_a","setLoadingProgress","a","(I)V","(I)V","IProgressUpdate","qe","net/minecraft/src","0"
"func_40156_a","func_40156_a","a","(LDragonPart;LDamageSource;I)Z","(Lct;Lky;I)Z","EntityDragonBase","afx","net/minecraft/src","0"
"func_40155_e","func_40155_e","e","(LDamageSource;I)Z","(Lky;I)Z","EntityDragonBase","afx","net/minecraft/src","0"
"func_407_b","multiplyVelocity","d","(F)LEntityFX;","(F)Lqb;","EntityFX","qb","net/minecraft/src","0"
"func_405_d","func_405_d","e","(F)LEntityFX;","(F)Lqb;","EntityFX","qb","net/minecraft/src","0"
"func_40097_b","func_40097_b","b","(FFF)V","(FFF)V","EntityFX","qb","net/minecraft/src","0"
"func_40098_n","func_40098_n","n","()F","()F","EntityFX","qb","net/minecraft/src","0"
"func_40101_o","func_40101_o","o","()F","()F","EntityFX","qb","net/minecraft/src","0"
"func_40102_p","func_40102_p","p","()F","()F","EntityFX","qb","net/minecraft/src","0"
"func_406_a","renderParticle","a","(LTessellator;FFFFFF)V","(Laaw;FFFFFF)V","EntityFX","qb","net/minecraft/src","0"
"func_404_c","getFXLayer","l","()I","()I","EntityFX","qb","net/minecraft/src","0"
"func_40099_c","func_40099_c","c","(I)V","(I)V","EntityFX","qb","net/minecraft/src","0"
"func_40100_q","func_40100_q","q","()I","()I","EntityFX","qb","net/minecraft/src","0"
"func_600_a","getBlockId","a","(III)I","(III)I","IBlockAccess","ahp","net/minecraft/src","0"
"func_603_b","getBlockTileEntity","b","(III)LTileEntity;","(III)Ljs;","IBlockAccess","ahp","net/minecraft/src","0"
"func_35451_b","getLightBrightnessForSkyBlocks","b","(IIII)I","(IIII)I","IBlockAccess","ahp","net/minecraft/src","0"
"func_28099_a","getBrightness","a","(IIII)F","(IIII)F","IBlockAccess","ahp","net/minecraft/src","0"
"func_598_c","getLightBrightness","c","(III)F","(III)F","IBlockAccess","ahp","net/minecraft/src","0"
"func_602_e","getBlockMetadata","e","(III)I","(III)I","IBlockAccess","ahp","net/minecraft/src","0"
"func_599_f","getBlockMaterial","f","(III)LMaterial;","(III)Lzo;","IBlockAccess","ahp","net/minecraft/src","0"
